input_row_key,input_company_name,matched_veridion_id,match_score,status
515,TELENOR FIBER AS,0e5f5346-ef74-11ee-a589-df5b398caaa4,89.62,MATCHED
514,TELENOR DIGITAL AS,0e5f5346-ef74-11ee-a589-df5b398caaa4,87.14,MATCHED
139,Nets Denmark A/S,1821bc30-93e5-11eb-a746-fdabd18be9c6,100.0,MATCHED
350,NETS DANMARK A/S,1821bc30-93e5-11eb-a746-fdabd18be9c6,97.19,MATCHED
454,Siae-microelettronica - S.p.a.,1d3ad1c3-93e5-11eb-a746-fdabd18be9c6,83.28,MATCHED
453,Siae Microelettronica Sdn. Bhd.,1d3ad1c3-93e5-11eb-a746-fdabd18be9c6,73.21,MATCHED
496,TATA COMMUNICATIONS INTERNATIONAL PTE. LTD.,2b145a02-93e5-11eb-8859-29e7c34dee35,85.0,MATCHED
495,Tata Communications International Pte. Ltd.,2b145a02-93e5-11eb-8859-29e7c34dee35,76.92,MATCHED
155,ECI Media Management AB,2b50edd1-93e5-11eb-a746-fdabd18be9c6,100.0,MATCHED
156,ECI MEDIA MANAGEMENT AB,2b50edd1-93e5-11eb-a746-fdabd18be9c6,100.0,MATCHED
6,3Step IT Group Oy,359bd116-93e5-11eb-b5f6-816dd10ac7b0,100.0,MATCHED
4,3 Step IT Sweden AB,359bd116-93e5-11eb-b5f6-816dd10ac7b0,78.82,MATCHED
3,3 STEP IT AS,359bd116-93e5-11eb-b5f6-816dd10ac7b0,72.28,MATCHED
44,APPLE DISTRIBUTION INTERNATIONAL LIMITED,72b33d10-1afd-11ec-9842-212d1c52ad77,100.0,MATCHED
45,APPLE DISTRIBUTION INTERNATIONAL LIMITED,72b33d10-1afd-11ec-9842-212d1c52ad77,100.0,MATCHED
321,MAVENIR SYSTEMS LIMITED,7f4f92c2-93e4-11eb-a736-0f5b20ecb2f1,88.53,MATCHED
322,MAVENIR SYSTEMS UK LIMITED,7f4f92c2-93e4-11eb-a736-0f5b20ecb2f1,84.44,MATCHED
535,TIETOEVRY NORWAY AS,8dfb5f3d-93e4-11eb-a33a-a3dfba582839,90.45,MATCHED
536,TIETOEVRY TECH SERVICES NORWAY AS,8dfb5f3d-93e4-11eb-a33a-a3dfba582839,79.89,MATCHED
140,DIGI TELECOMMUNICATIONS SDN BHD,c2b35013-93e4-11eb-b997-8dd98d09cf25,100.0,MATCHED
141,Digi Telecommunications Sdn. Bhd.,c2b35013-93e4-11eb-b997-8dd98d09cf25,92.89,MATCHED
519,TELENOR GLOBAL SERVICES AS,d4d3de9b-2d28-11ed-abd0-cb4d1b9ef28b,100.0,MATCHED
516,TELENOR GLOBAL SHARED SERVICES PAKISTAN (PRIVATE) LIMITED,d4d3de9b-2d28-11ed-abd0-cb4d1b9ef28b,75.53,MATCHED
517,TELENOR GO PTE. LTD.,f8dd5135-0c43-11ee-b94f-ebf23e82ffaf,87.73,MATCHED
523,TELENOR PROCUREMENT COMPANY PTE. LTD.,f8dd5135-0c43-11ee-b94f-ebf23e82ffaf,75.77,MATCHED
